bar_index,timestamp_utc,type,price,confirmed_at_bar,is_break,produced_ob
4,2026-05-11T20:00:00+00:00,INITIAL_HIGH,4777.2002,7,False,False
8,2026-05-12T12:00:00+00:00,INITIAL_LOW,4673.1001,11,False,False
10,2026-05-12T20:00:00+00:00,LH,4724.7002,13,False,False
17,2026-05-14T00:00:00+00:00,HL,4680.7998,20,False,False
28,2026-05-15T20:00:00+00:00,LH,4561.8999,31,False,False
29,2026-05-17T20:00:00+00:00,NEW_LOW,4540.8999,32,True,False
35,2026-05-18T20:00:00+00:00,NEW_HIGH,4585.5,38,True,False
42,2026-05-20T00:00:00+00:00,NEW_LOW,4467.1001,45,True,False
46,2026-05-20T16:00:00+00:00,LH,4548.1001,49,False,False
51,2026-05-21T12:00:00+00:00,HL,4513.0,54,False,False
52,2026-05-21T16:00:00+00:00,LH,4544.1001,55,False,False
