bar_index,timestamp_utc,type,price,confirmed_at_bar,is_break,produced_ob
3,2026-05-13T12:00:00+00:00,INITIAL_LOW,78801.0,6,False,False
10,2026-05-14T16:00:00+00:00,INITIAL_HIGH,81368.0,13,False,False
20,2026-05-16T08:00:00+00:00,NEW_LOW,78034.0,23,True,True
24,2026-05-17T00:00:00+00:00,LL,77989.0,27,True,False
28,2026-05-17T16:00:00+00:00,LH,78381.0,31,False,False
33,2026-05-18T12:00:00+00:00,LL,76394.0,36,True,False
37,2026-05-19T04:00:00+00:00,LH,77199.0,40,False,False
39,2026-05-19T12:00:00+00:00,HL,76489.0,42,False,False
48,2026-05-21T00:00:00+00:00,NEW_HIGH,78075.0,51,True,False
50,2026-05-21T08:00:00+00:00,HL,77147.0,53,False,False
54,2026-05-22T00:00:00+00:00,LH,77740.0,57,False,False
